,Country name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Afghanistan,83.97973059883172,89.63865147202033,97.87480908107354,84.45106805762543,127.84889337106942,148.24769828295507,155.8094261076563,154.4762227097575,159.8321173287298,165.35232247712304,165.59209152863835,184.67699735583187,185.88968614248859,204.21885053219597,171.87335217032225,,
1,Albania,177.7643453065325,205.99944723730385,243.8388055447586,233.7301014431825,334.6564258985728,361.27552723025434,348.61884881320844,350.0801595093503,353.84000810481893,302.85430603991045,300.79465662446813,327.67422334172966,367.1386789208366,601.1166228425914,419.89070116805243,525.4736293020972,860.9870933169311
2,Algeria,216.1482973209477,242.0591273903632,285.20594733729286,275.1418395023804,361.53316520256317,402.424620237468,409.55186816915716,454.8913673451903,469.4274212219671,389.7253094320587,364.5822545285091,363.37662252629383,351.26227051075483,350.219973290901,324.0147631197891,362.6385677021082,617.1643253552833
3,Argentina,321.345210011268,386.996174789439,488.9494397201653,501.34472798958603,591.1371980214207,729.8784979267089,820.7177368111625,871.4622945136298,763.7595630605172,808.5149178730741,761.7934180051492,811.8307351653755,606.7079961960253,488.1265258788078,444.65149413442776,494.7961814862335,535.6268783036941
4,Armenia,157.3583683308034,204.42716749572816,250.9895025474125,229.39793322502987,248.17523254715667,290.4988109728297,350.3026865209067,357.7021226092146,381.2754384806271,359.0885672928102,363.0578604478668,368.3674353800246,357.6217609899253,380.21615591411944,387.9602519740529,405.0422447520288,838.6447794219494
5,Australia,2703.655978714211,3139.5724248249935,3261.3269556320092,3166.044372721258,3921.689185454345,4579.114842888537,4788.512179585776,4641.887058563529,4397.732793321595,3715.475557534602,3743.791017526568,3935.7615462890653,3937.3272892180303,3758.2496160453106,3854.442705353847,4288.170549616236,4041.8767096761726
6,Austria,4319.259952665105,4851.492258717748,5368.257461274861,5216.4862579299,5011.209000704075,5386.866826194297,5126.306803526467,5418.721597855412,5566.418285776001,4748.715173809139,4859.304666753557,5038.378048592079,5396.962110492875,5250.335451376493,5448.27543961395,5819.082324827328,12786.976264497851
7,Azerbaijan,166.77019850130674,251.47886352548326,333.97451449973295,370.7466773262889,413.00691459540275,461.1957418453112,507.09903712546503,541.8454349251249,566.7130959173071,455.7061174146342,313.2125356056711,307.0612819868831,320.349800429339,373.5882352941177,416.29411764705884,430.64705882352945,676.2414766739884
8,Bahrain,1061.8713160433667,1757.4999999999998,1869.6808510638298,1978.723404255319,2156.9148936170213,2390.9574468085107,2420.2127659574467,1952.127659574468,1984.0425531914893,2013.2978723404256,2058.5106382978724,2042.5531914893618,2130.31914893617,2109.0425531914893,2135.6382978723404,2170.2127659574467,5926.229519810606
9,Bangladesh,50.86080879473524,54.8676131898606,61.61962527483381,72.78487735094986,78.38844974717314,77.96969484467125,79.02467537667611,94.59817296086818,104.29229720971665,114.16458788836566,124.20114290090095,131.74625653623607,135.16202455391814,142.13691829147132,150.01361130772176,158.7169903493812,226.04979394131328
10,Belarus,271.4612172225184,323.40152281394126,406.37053731807873,351.43813183499856,408.69864462432565,381.89387518134924,440.94132547733733,569.9761347131675,591.9704932535643,421.63769436844734,363.24562763884325,425.80461522491197,476.7353883804518,522.4728502031717,514.2699035692692,568.6037007494067,471.8552181210368
11,Belgium,3472.986345660372,3888.0461971701275,4318.138056521368,4222.006391110644,4113.698817244642,4443.12116517111,4185.841495210333,4382.7895276771715,4535.501677240875,3822.2719097599256,3861.9849618002645,4019.4056271055197,4283.322007605614,4206.985208160525,4376.8954894340995,6600.776864031832,10515.116487393905
12,Belize,223.24991961193035,238.468580493533,261.87832048133356,284.1848431916168,316.22891886374316,369.0095950291928,422.4642327009365,455.5026100562342,753.0347,599.3477,579.1982,599.05915,608.98151355,634.7,510.0,696.3665235642203,1245.9421814210993
13,Benin,44.23647918852709,51.57527945524939,60.782472395175674,62.55265093046089,74.15405311464423,85.13552679417396,85.65643342943578,95.46977256699849,102.14488382936659,78.81440803290737,104.5288631900168,119.25693101139001,132.00408228581838,149.3404106130532,105.27074643007776,129.97673589555515,207.05449472689745
14,Bhutan,129.8655493330277,151.99842545892247,158.6450682327974,154.7306415796846,182.26705969249247,208.38360515565952,208.35983896325936,204.86947477263752,210.3994393713184,221.16398742308704,234.70229041055552,270.72762456234614,230.20942653758584,275.3068197531327,268.4873992882912,248.28794504998393,417.7520248644673
15,Bosnia and Herzegovina,412.35865340827644,667.5401233531479,833.5856808643958,855.1796953508706,824.1128133704887,903.0257743258372,847.4520743089022,876.4120976930823,874.729991219115,730.6527378181565,735.8018698421081,761.2285330261849,822.2763859516615,813.6403273289403,862.23193029544,932.5403055368402,1929.711285722348
16,Botswana,445.14233359079304,451.5471820198363,445.94073504956407,620.9520659096686,683.140444166406,691.8453597026447,642.7842606277451,630.4730362681787,630.9981331441235,617.857722199082,638.1372810070923,751.5466538500592,813.176652598458,476.2331253405171,455.4984217612092,730.1501985284964,1171.0313412671558
17,Brazil,378.7615039612806,459.2004178027881,529.5221128588657,525.6602933742896,611.2633846177525,759.3254277841488,746.5175528336828,739.5334275767152,735.1403799143349,559.6043004762245,568.4107268900477,654.1821470948112,600.8771036060473,579.7988992084126,478.25693373410894,459.8749882653788,520.1908315936126
18,Bulgaria,231.09153870813384,301.3073953558891,407.4688071578225,432.9899349104009,438.6672456663676,487.6314621211984,480.3280663140721,525.99135871559,557.3707477716183,497.57235698632206,536.3278579339046,597.7287461233062,691.7448262331474,725.4644755228192,810.205865373899,937.652743974644,1220.3043365604349
19,Burkina Faso,64.10107904705548,74.73540222641296,88.07712863118468,90.64221419629328,95.86838879314807,117.4589359182926,124.12085931949882,138.34092473409936,148.01352622784395,136.58772931456537,151.46804277723567,172.80981899782353,192.68229796314063,216.41712725800494,152.20080796382052,188.36959760637055,299.62570999439976
20,Cambodia,65.5306827911675,70.81034899301345,77.79994830965987,58.221935904189245,69.83616451631495,83.89110852542363,99.82020140720303,125.44195653354875,159.00928792569658,193.71888636223957,218.54317508624735,256.50647650239983,212.1225032679752,306.07101865128016,171.86652710111403,204.63065674261145,365.83022509368226
21,Canada,2884.496448333938,3177.3603747346215,3290.3036676530605,3121.991060988022,3585.293668529073,3825.8297886157065,3882.2729038224575,3833.3528498244045,3668.721902597345,3226.2892372169094,3127.190262990484,3258.543394738617,3348.0762447224156,3358.5814757434173,3546.873305644886,3907.346613413146,3883.233505183146
22,Central African Republic,264.5614992839195,282.20029446768774,317.48876372081145,296.88824212532586,278.8134220024288,303.4405556630742,289.56503459889893,302.24691555411175,309.59881204608956,273.7415434030913,271.7828054011965,304.4993793782106,520.9632576564071,585.1361169179081,411.51174535990447,509.30282776269325,810.1106723678195
23,Chad,92.15628106130167,107.44494219435634,126.62595921746384,130.31370909310806,137.82723027220757,204.132160294595,178.44499604478113,198.88877584599211,212.79479732181062,196.36825712400062,217.7612565887905,248.44371555782163,219.1645984217153,311.13669071666493,218.81473206051044,270.8135625560019,430.7632812727878
24,Chile,564.8078827023714,615.0493574127062,672.8705924038339,665.4435212673247,685.7512067467948,844.1858226323718,983.1663698035185,1022.1176364467711,923.679392083527,855.6481503354669,844.2881387728643,924.8441155838404,985.7867479539874,930.281249650408,886.4752673316267,978.6402463888053,1578.609361514646
25,China,217.97371816457994,270.79520637385815,346.5658701815915,393.32987180796,449.7482527834523,539.080840033015,617.4288914756554,692.4495373144755,764.5018396557193,830.0296108784268,847.4330331007264,916.3176632180554,1038.6630106810921,1091.68061552493,1175.9441161160346,1380.5423474018291,1802.310186366967
26,Colombia,285.1943816771344,414.0811302815355,478.82186869875517,427.0842426536117,539.045317331908,576.2796185863621,596.4200286804924,616.4673205738203,572.3993473498392,442.2728522450435,422.50554478641556,429.92471789469175,458.44129887916347,438.99784264201014,390.2678871132342,404.2597010737815,760.1988866513165
27,Costa Rica,516.2801906009026,566.3746624687277,618.3391118886049,673.9981112183025,800.0069213349034,927.1606789768564,989.4522835966621,1064.3483426715102,1055.4334873256325,1083.5878997639522,1127.1023116171805,1115.2623804068048,1117.942360612454,1139.6001340728837,1146.2523849447955,1134.0614182642898,2169.240261658652
28,Croatia,1126.2817503857302,1303.93391603859,1521.1630260931536,1448.7277871273689,1396.323248947082,1454.376765077405,1344.0355155698094,1389.3368077822415,1383.2239372383392,1163.2613968140445,1180.871526816004,1253.6551732675546,1371.550464779545,1350.2361666867587,1389.0116283420966,1509.2569936515108,3316.0197589492977
29,Cuba,,,,,,,,,,,,,,,,,
30,Cyprus,3565.467730412079,3987.679671457906,2648.0952216507912,2608.24312896495,2538.0845586899345,2739.367936421286,2557.693049904841,2586.5098803488763,2514.851984480661,2088.9353956750365,2079.040772284708,2136.5095256501727,2288.3946016646755,2215.4400550691007,2282.1078256496166,2417.5211934851745,5990.077813925506
31,Czech Republic,1013.8381056790358,1212.4141684248923,1543.4549777324116,1399.406662120338,1407.5227573206969,1448.074178798673,1329.740773847529,1339.3060164855085,1291.1959532699025,1130.585903755272,1189.0793406702726,1330.7904007373254,1550.1209927097248,1586.4121488297048,1664.2647106343104,1881.016998380703,3635.9444073342484
32,Denmark,3069.6088541513373,3581.874744306665,4200.123384137878,6599.964557559103,6493.842987513502,6956.853568404657,6578.5724525883315,6859.549852981575,6941.32942099485,5882.199470666243,5957.13731160689,6202.38690975118,6609.361769537332,6386.158021597718,6660.95478080687,9056.493742534572,14397.073520156195
33,Dominican Republic,254.98471545159205,274.72071489071874,294.90844072661343,328.0341405590515,307.61549703334725,318.44497469182795,337.20494799754437,319.9439855146522,319.079321703521,289.9934570532887,294.59597987714255,305.8861116589137,322.5813432282527,329.089514028881,298.6207758931002,361.6112582935372,683.8735196018549
34,Ecuador,321.55,362.78,382.1,400.57,440.94,478.0,448.961398142422,500.618703048126,540.27532349515,561.304285650515,570.117636416667,566.960648074573,574.156787033882,611.712117884796,517.045520634401,533.594438068047,1387.1631555630104
35,El Salvador,247.42,260.64,266.11,277.63,271.68,270.69,278.7,302.26,298.3,300.13,302.16,306.66,326.87,344.29,358.02,355.97,874.7340948424509
36,Estonia,48.2305293220325,63.36468117965134,77.1641125260315,69.62622890239213,67.10619926381489,1167.8504566348877,1139.6075525634026,1260.3840187168594,1335.1432881157234,1181.6312289969,1268.5109676764412,1379.3407168903427,1547.050408040627,1575.1006354129481,1653.8999657360584,1830.8819997627445,3000.212419682831
37,Ethiopia,74.03279402087993,76.721632247683,78.69062247343678,69.60286286447348,59.737994720892054,62.91412488947068,70.93572023053157,72.43948450884909,71.75602118032046,75.46756170141612,79.4292767301408,80.85201293275611,75.033016013659,83.88155491095483,48.23344951145039,45.930784769598176,69.44138281313953
38,Fiji,285.0902003839447,370.6604278659984,279.14182903474875,276.1867990743361,300.18107637665844,320.36323261289937,401.03842504586424,420.2887125405635,438.61971573331977,436.0641881618342,359.1869760148515,315.4258179347492,381.8611116516213,763.0266401770124,457.5423074461717,571.4230427215941,961.6579225873767
39,Finland,3307.247300965083,3746.8869591339894,4229.892728390822,4143.898575483886,4030.178667232907,4327.588879234643,4119.032484237056,4361.539639058131,4394.680594116232,3698.0064659593127,3728.0496851084235,3835.2675952847776,4092.0073769929563,3948.38659637631,4110.763796052538,4416.352317257163,9985.81521896084
40,France,2956.711725896477,3310.396930176144,3645.8363283956405,3502.94468071235,3428.611761166517,3660.7512591112527,3445.34852731929,3603.5840001435913,3642.6234639817453,2810.3961530977917,2846.9548070364804,2968.802132668158,3161.415223148671,3048.329090426054,4389.445338627386,5419.6041813496295,8633.49427746746
41,Georgia,156.06973924308107,220.35428686756808,358.8172414307551,333.29777859249896,335.26640538521576,377.11338476618346,431.4891169727106,464.794360715639,463.29304696794145,396.7739290870963,397.1777424951294,398.1205066797562,421.56798593347077,400.78372980179876,383.07932300319186,404.93461991270465,719.6236181365355
42,Germany,2816.308160996462,3120.578495226077,3432.7432642782264,3256.816955151421,3176.41713377962,3450.6570703192924,3276.2111150357123,3461.0756088262756,3564.367603994513,3063.365092263325,3131.428907117497,3278.3347751152946,3535.7778028043035,3451.33991398587,3516.821819406992,3761.7055557140884,3507.178489879244
43,Ghana,293.45573186179683,307.57418671612595,299.35971866809683,243.30887927969854,266.00737358697387,291.9030280648224,278.4722187375296,316.3949832185126,202.32742329020692,174.32607240893236,184.10049229573588,158.2981320419181,187.17095816250264,194.89311526916742,125.54420803701429,144.28007588102778,181.17131257062684
44,Greece,1969.4747549692918,2223.267722257044,2449.459650532187,2442.2203184701857,2238.8547822570504,2245.0458000258345,1973.0798079006695,1866.7143966258107,1845.2059974805854,1505.3491840306813,1488.1487254506242,1521.0639740972533,3680.2033317362016,4133.254283766832,2913.550068220089,3597.3310781072037,5730.591430250946
45,Guatemala,116.98264214296707,123.80630725073338,137.99715766229238,138.7145428729551,156.3438092116058,252.64281453737524,239.86400896863043,257.80170746697416,282.38930538750725,285.50657331365943,293.0644875532934,296.9880498799748,312.3352300745882,308.8337228715964,301.30933599181617,358.6789823820231,640.6025040800644
46,Guinea,92.47764799171858,121.16066780429642,138.5293651353852,129.0006447776845,154.31491565963003,138.986593404986,139.13336742843248,167.67949408811728,148.1462335957688,153.38457499515775,142.3126406200582,156.98316377096094,168.87032227628342,15.67758560025763,130.22286532650497,,
47,Guinea-Bissau,54.13733870764692,63.11868448912485,74.38660028800969,76.55297421052106,80.96680294010505,99.2013596741551,104.82776735678941,116.8374949501424,125.00660709358294,115.3568126331048,127.92416067124275,145.94861494023593,162.73215650770635,182.7776925861395,128.54302633917004,159.08981345467197,253.052503774211
48,Honduras,140.28735009846804,149.85141807714575,164.48650609882563,178.5790885330067,198.71528496820014,231.6119846026958,288.1880795434507,323.13143902957,313.37953664221425,291.7725650399234,302.9557446307798,289.46866424390856,284.0749080323858,305.60905521498074,362.629223603398,296.74330176966714,604.1727993435898
49,Hong Kong (China),1410.4319094303617,1457.2994220512387,1460.799212408159,1432.773244751185,1490.249919489853,1630.2350976361768,1709.2944550550924,1780.2024239298607,1836.4840031311023,1915.4384493823975,1967.2775290669588,2014.980912969557,2103.4955667538434,2183.3118864126377,2189.951335847111,2195.2851124047215,5117.982933829633
50,Hungary,814.4446028803651,1007.5815405435112,1154.7100749805768,987.6215969708626,973.9393184911111,1059.8791375494268,990.9190188259629,1031.3775453184023,1021.8972347544232,887.557405600852,934.8107132546515,1082.2905527854111,1221.0390618193096,1265.5095300350924,1310.7533629897778,1447.0529376001862,1945.5236922226636
51,Iceland,3875.7480763750355,4730.309889938334,3683.998578564624,2701.426500557536,2846.8164581645206,3147.7989092019543,3117.9350041185126,3503.0535123025147,4830.117219622668,4639.220679331635,5487.885971390842,6617.398280105427,6703.590195355942,6149.741795342375,5855.781843478044,6480.883431064924,10224.558964689179
52,India,97.07673109478033,113.2718008164495,119.23164487052128,117.24363685331161,137.18929156337467,154.44456664568423,149.18437020811234,156.89996678379578,165.3763795443228,169.6744578164427,173.72934910241236,190.40488411512604,192.18067605353184,221.29969665721813,217.9769825936667,230.20775790384675,322.43739419180594
53,Indonesia,107.54383059480261,117.85493928454217,119.40297738031259,127.27506782403648,155.21614298384074,174.35409881588342,174.28674030838062,183.26240483919688,164.56419954358503,154.5479259824815,191.83192886426562,204.9663738893977,198.71757866666724,205.96301156941774,189.02115895383264,191.25213019418962,206.78694971729803
54,Ireland,1911.2956974537258,2228.378287200273,4509.5850702710295,4287.004414290166,4017.3192155644338,4167.887533218971,3869.953716258944,3982.007774201804,3995.8347674333236,3376.580581414335,3405.5479285749425,3543.929409591217,3825.065403691559,3757.991969107044,4033.806429552945,4373.19905143265,8946.063796780727
55,Israel,1611.3799031310352,1865.1035276357075,2207.9022312486372,2020.9364242854153,2166.47610641954,2326.634754658025,2275.7204109032996,2500.8596996015017,2604.0232816506773,2444.920886964103,2531.9180327094164,2804.512908714251,2947.731139738766,2887.058787376446,3024.6288344968802,4659.841889485722,8016.2441901771335
56,Italy,2476.068539909626,2759.315191789995,3046.0136887846215,2894.6498254620537,2810.626606301838,2980.376520619998,2720.0405525557453,2836.352789551171,2847.8480127933885,2408.3785806836604,2422.26172577409,2480.3494557559848,2634.1485583166564,2522.605202673973,2462.1940788248367,2696.61833811955,2525.658180329868
57,Japan,2845.2446980389136,2807.559164010177,3181.1301243405856,3399.5906501065406,3679.6589195416373,4057.287199669137,4080.688577175187,3319.8198127876803,3111.0546162722258,2753.5435811269454,3067.2957518367466,2975.942621600985,3049.1786428757537,3100.6424724763788,3096.242503399613,3050.4492981077437,2586.348361775008
58,Jordan,394.92242595204516,430.1834982126306,493.1893718254017,514.0845070422536,552.112676056338,585.9154929577466,615.4929577464789,652.112676056338,703.550319840111,681.6901408450705,694.3661971830986,704.2253521126761,738.0281690140846,764.7887323943662,768.8516725352114,1005.5799113781062,1799.1881946923158
59,Kazakhstan,323.5005488239551,434.4038349207755,504.858027416411,458.57985480833923,525.8186013369075,613.5485522438373,677.870735183167,714.1299880662528,672.2131794312954,565.2637988777955,416.0363572597615,459.0875168441611,470.74051067414877,484.61999565517,514.9104822590858,584.1432705458344,668.8341007013979
60,Kenya,365.79188011739615,425.7610011347796,441.6478798049644,412.8179610396509,416.028404265366,389.5443463109222,437.04817678219865,497.9616591366254,535.0674918366373,504.43272755109723,516.1290946527513,548.6998117285644,599.8080543151284,641.1288775853712,633.2486858247252,628.920563142378,1047.0571364375535
