Unnamed: 0,Entity,Code,2017,2018,2019,2020,2021,2022
0,Albania,ALB,3.3605964,3.3775876,3.5188477,3.5597274,3.55,3.8795288
1,Algeria,DZA,4.488165,4.456689,4.345565,4.250733,4.36,4.52766
2,Angola,AGO,3.8027802,3.690527,3.667233,3.821472,4.0,4.083227
3,Antigua and Barbuda,ATG,4.3444552,4.435107,4.4515543,4.512478,4.48,4.6017323
4,Argentina,ARG,3.670125,3.634377620627453,3.663910247610732,3.7298821437866483,3.7835582454531815,3.8783694624599914
5,Armenia,ARM,3.5485246,3.5394528,3.5612435,3.5283177,3.66,3.8054569
6,Aruba,ABW,3.835944,3.9710934,4.207779,4.2821426,4.2,4.3609977
7,Australia,AUS,2.5757203,2.5466793,2.5437455,2.6279163,2.58,2.6943746
8,Austria,AUT,2.2772462,2.2769039,2.3211677,2.4185205,2.43,2.555489
9,Azerbaijan,AZE,3.1726682,3.1617672,3.1796818,3.2351637,3.28,3.462873
10,Bahamas,BHS,4.731366,4.737255,4.6211376,4.7009335,4.66,5.009129
11,Bahrain,BHR,3.3937602,3.3991697,3.4446554,3.6434855,3.67,3.9073057
12,Bangladesh,BGD,3.349542,3.3775876,3.370463,3.3817408,3.37,3.370283
13,Belarus,BLR,3.460088,3.4315426,3.4552543,3.4131503,3.42,3.462873
14,Belgium,BEL,2.2109187,2.2337399,2.289371,2.3871112,2.32,2.3703086
15,Belize,BLZ,2.7636485,2.7517085,2.7557242,2.7849631,2.83,2.8702958
16,Benin,BEN,3.1395044,3.1725583,3.1054893,3.1095264,3.23,3.1665845
17,Bermuda,BMU,3.261105,2.956738,2.946505,2.8163724,2.46,2.1758692
18,Bhutan,BTN,4.49922,4.5969725,4.6423354,4.87892,4.96,4.888762
19,Bolivia,BOL,3.8691077,3.8847651,3.9428055,3.8842907,3.87,3.8887877
20,Bosnia and Herzegovina,BIH,4.49922,4.456689,4.59994,4.543887,4.58,5.1202374
21,Botswana,BWA,3.460088,3.3344233,3.285671,3.3503315,3.31,3.2962105
22,Brazil,BRA,3.5595791,3.4639156,3.49765,3.6958344,3.84,3.935083
23,British Virgin Islands,VGB,3.913326,3.6365716,3.8050191,3.6853647,3.74,3.5184271
24,Brunei,BRN,4.3997283,4.435107,4.419758,4.449659,4.48,4.536919
25,Bulgaria,BGR,3.7475073,3.744482,3.8898108,3.9785185,3.94,4.3887744
26,Burkina Faso,BFA,2.9515765,2.999902,2.8935106,2.9524796,3.04,3.3054695
27,Burundi,BDI,3.692234,3.3775876,3.2962701,3.4445596,3.5,3.6758304
28,Cambodia,KHM,4.112309,4.1113763,4.1123886,4.1879144,4.18,4.1665583
29,Cameroon,CMR,2.852085,2.859619,2.8723125,2.9001307,2.95,3.1388073
30,Canada,CAN,3.4048147,3.3775876,3.3810618,3.4864385,3.48,3.6017582
31,Cape Verde,CPV,3.53747,3.5178707,3.5294468,3.5597274,3.51,3.7684207
32,Cayman Islands,CYM,3.9575443,3.798437,3.5188477,3.7272437,3.72,3.546204
33,Central African Republic,CAF,3.2721598,3.2696774,3.2644732,3.2665732,3.27,3.2684336
34,Chad,TCD,3.0400133,2.87041,2.7451253,2.8791912,2.86,3.027699
35,Chile,CHL,3.7364528,3.798437,3.8898108,3.9680488,3.86,4.203594
36,China,CHN,2.9626312,2.956738,3.0842915,3.2561033,3.08,3.101771
37,Colombia,COL,3.1395044,3.097021,3.1266873,3.2979827,3.34,3.8239748
38,Comoros,COM,5.0298405,4.675724481398522,4.7137189996901805,4.798593617089117,4.55,4.989626543100342
39,Congo,COG,3.3384871,3.3020504,3.2220776,3.2351637,3.27,3.370283
40,Costa Rica,CRI,3.913326,3.863183,3.8898108,3.7272437,3.67,3.953601
41,Cote d'Ivoire,CIV,2.71943,2.7193356,2.7875211,2.837312,2.93,3.036958
42,Croatia,HRV,3.6590705,3.6149898,3.6460352,3.6958344,3.66,3.9073057
43,Curacao,CUW,3.3384871,3.3991697,3.5082488,3.570197,3.68,3.7961974
44,Cyprus,CYP,3.1947777,3.1617672,3.2220776,3.2875128,3.19,3.2776926
45,Czechia,CZE,3.1063406,3.053857,3.147885,3.1409357,3.13,3.361024
46,Democratic Republic of Congo,COD,4.7534757,4.1005855,3.7308266,3.4550292,3.32,3.2684336
47,Denmark,DNK,2.4320107,2.4387693,2.4801517,2.5232184,2.49,2.527712
48,Djibouti,DJI,3.0842316,3.08623,3.158484,3.2456336,3.27,3.435096
49,Dominica,DMA,4.7534757,4.8127923,4.8331165,4.88939,4.91,4.925798
50,Dominican Republic,DOM,3.6811795,3.679736,3.7520244,3.8528812,3.91,3.990637
51,East Asia & Pacific (WB),,3.968599,3.9495113,3.9746022,4.0832167,4.15,4.1480403
52,Ecuador,ECU,2.7636485,2.7193356,2.7133284,2.7430837,2.72,2.7684467
53,Egypt,EGY,4.233909,4.1869135,4.1123886,3.9052303,3.88,4.2128534
54,Equatorial Guinea,GNQ,4.0680904,4.0466304,4.016998,4.0099277,3.97,3.9998963
55,Estonia,EST,3.4711425,3.4639156,3.5506446,3.5911367,3.41,3.5924993
56,Eswatini,SWZ,3.7253978,3.5502436,3.5294468,3.4969084,3.47,3.4165778
57,Ethiopia,ETH,3.12845,3.08623,3.1690829,3.2456336,3.37,3.444355
58,Europe & Central Asia (WB),,3.1173954,3.1078122,3.1902807,3.2351637,3.22,3.3980598
59,Fiji,FJI,3.5816884,3.5610347,3.667233,3.6748948,3.91,3.96286
60,Finland,FIN,2.796812,2.8164546,2.8829114,2.9420097,2.88,3.046217
61,France,FRA,2.852085,2.87041,2.9994998,3.0781171,3.04,3.1665845
62,Gabon,GAB,3.592743,3.5610347,3.5824416,3.6016064,3.61,3.6665714
63,Gambia,GMB,2.9294674,2.924365,2.9147084,2.93154,3.0,3.0647352
64,Germany,DEU,2.918413,2.989111,3.0418954,3.1095264,3.1,3.2962105
65,Ghana,GHA,3.8248894,3.820019,3.8368158,3.8738208,3.89,3.9721189
66,Greece,GRC,3.238996,3.2265134,3.285671,3.277043,3.25,3.462873
67,Grenada,GRD,4.9966764,5.017822,5.0026994,5.0987854,5.12,5.2776403
68,Guatemala,GTM,2.6862664,2.7840817,2.8935106,2.9838889,3.0,3.0647352
69,Guinea,GIN,2.5093927,2.5790524,2.628537,2.6802652,2.75,2.8332596
70,Guinea-Bissau,GNB,3.261105,3.2696774,3.2962701,3.3503315,3.44,3.453614
71,Guyana,GUY,5.118277,5.1149406,5.1192875,5.119725,5.12,5.1202374
72,Haiti,HTI,4.3444552,4.402734,4.5363464,4.7009335,4.81,4.870244
73,High-income countries,,3.3274326,3.3128414,3.3492649,3.4131503,3.41,3.499909
74,Honduras,HND,4.0128174,3.9818842,3.9004097,3.9471092,3.89,4.046191
75,Hong Kong,HKG,4.0238724,4.1113763,4.1653833,4.324022,4.43,4.518401
76,Hungary,HUN,3.7143433,3.7229,3.815618,3.863351,3.71,4.1758175
77,Iceland,ISL,2.6309934,2.6006346,2.6709328,2.8268423,2.78,2.7962236
78,India,IND,3.1616137,3.097021,3.0948904,3.1514056,3.11,3.11103
79,Indonesia,IDN,4.079145,4.1221676,4.059394,4.1774445,4.22,4.2961845
80,Iran,IRN,3.3274326,3.4639156,3.858014,3.7795925,4.17,4.7498765
81,Iraq,IRQ,3.7364528,3.744482,3.7520244,3.706304,3.67,3.7313848
82,Ireland,IRL,2.5757203,2.4495602,2.437756,2.3242924,2.24,2.2962365
83,Israel,ISR,2.774703,2.7840817,2.7557242,2.732614,2.75,2.7962236
84,Italy,ITA,3.0289586,3.053857,3.1902807,3.2351637,3.19,3.3425057
85,Jamaica,JAM,5.4609694,5.4818354,5.6068387,5.789792,5.82,5.94429
86,Japan,JPN,6.057917,6.0969234,5.9036093,6.072476,5.92,6.055398
87,Jordan,JOR,3.261105,3.2157223,3.2008796,3.2665732,3.23,3.1943614
88,Kazakhstan,KAZ,2.3435738,2.3200681,2.3847613,2.4603996,2.52,2.5832663
89,Kenya,KEN,3.0842316,2.989111,3.0206976,3.0467079,3.13,3.2776926
90,Kuwait,KWT,2.3988469,2.3848143,2.3847613,2.4499297,2.59,2.6758564
91,Kyrgyzstan,KGZ,3.5706336,3.4423337,3.4446554,3.622546,3.81,3.8887877
92,Laos,LAO,4.2007456,4.1761227,4.2289767,4.365901,4.34,4.305444
93,Latin America & Caribbean (WB),,3.968599,3.9495113,3.9746022,4.0308676,4.06,4.1758175
94,Latvia,LVA,3.3605964,3.2696774,3.3810618,3.4340897,3.35,3.6758304
95,Lebanon,LBN,1.6250253,1.6078612,1.6216377,3.1095264,5.01,6.2590966
96,Lesotho,LSO,3.891217,3.906347,3.9640033,4.166975,4.31,4.3332205
97,Liberia,LBR,3.4048147,3.3344233,3.370463,3.5283177,3.34,3.2406566
98,Lithuania,LTU,3.150559,3.097021,3.2220776,3.214224,3.15,3.444355
99,Low-income countries,,3.2500505,3.1617672,3.1266873,3.1618752,3.33,3.2221384
100,Lower-middle-income countries,,3.5706336,3.5502436,3.5506446,3.6539552,3.77,3.8887877
101,Luxembourg,LUX,2.71943,2.7948725,2.776922,2.7430837,2.71,2.7684467
102,Madagascar,MDG,3.349542,3.4207516,3.3916607,3.3817408,3.43,3.472132
103,Malawi,MWI,2.71943,2.7301266,2.8617136,2.9734192,3.03,3.1758435
104,Malaysia,MYS,3.3053236,3.3236322,3.3492649,3.4340897,3.41,3.49065
105,Maldives,MDV,3.813835,3.776855,3.7414255,3.8947604,3.95,4.036932
106,Mali,MLI,3.1726682,3.2373042,3.1054893,3.1618752,3.19,3.3239875
107,Malta,MLT,3.7032888,3.766064,3.9746022,3.9157,3.94,4.1110044
108,Mauritania,MRT,4.1233635,4.1761227,4.186581,4.1774445,4.27,4.499883
109,Mauritius,MUS,3.7917256,3.798437,3.7732224,3.9157,3.92,4.064709
110,Mexico,MEX,3.2058322,3.2049313,3.158484,3.214224,3.29,3.6017582
111,Middle East & North Africa (WB),,3.12845,3.1401854,3.1796818,3.2665732,3.49,3.6017582
112,Moldova,MDA,2.5978293,2.6545897,2.7239273,2.8163724,2.87,2.935109
113,Mongolia,MNG,4.665038,4.672509,4.8225174,4.9626784,5.26,5.425785
114,Montenegro,MNE,3.5485246,3.4962888,3.69903,3.5911367,3.67,4.157299
115,Morocco,MAR,2.8741941,2.8488278,2.8087192,2.8163724,2.79,2.907332
116,Mozambique,MOZ,3.1063406,2.989111,3.0100987,3.1095264,3.26,3.3332467
117,Myanmar,MMR,4.1012545,4.0897946,4.0911903,4.125096,4.25,4.2221127
118,Namibia,NAM,3.6259067,3.5934076,3.6142385,3.716774,3.79,3.8517516
119,Nepal,NPL,3.6480157,3.6041987,3.6142385,3.6853647,3.69,3.6758304
120,Netherlands,NLD,2.4430652,2.4495602,2.5437455,2.6174464,2.54,2.6851156
121,New Zealand,NZL,2.9294674,2.7732906,2.8617136,2.9629493,2.86,2.972145
122,Nicaragua,NIC,4.057036,4.0250483,3.9958,4.0203977,4.07,4.268408
123,Niger,NER,3.5595791,3.4207516,3.338666,3.4340897,3.56,3.6665714
124,Nigeria,NGA,3.183723,3.2480953,3.306869,3.3922107,3.49,3.546204
125,North America (WB),,3.017904,2.902783,2.8829114,2.9001307,2.77,2.7406695
126,North Macedonia,MKD,3.6369612,3.5610347,3.688431,3.6748948,3.86,4.2591486
127,Norway,NOR,3.670125,3.701318,3.7414255,3.7900624,3.63,3.7128668
128,Oman,OMN,2.5646656,2.5250974,2.5543444,2.6069767,2.59,2.6573381
129,Pakistan,PAK,3.238996,3.1401854,3.147885,3.3084524,3.34,3.481391
130,Palestine,PSE,2.8963034,2.87041,2.9041095,2.7535539,2.58,2.7591875
131,Panama,PAN,4.410783,4.348779,4.3773623,4.4182496,4.42,4.472106
132,Paraguay,PRY,4.079145,4.0682125,4.006399,3.9889884,4.15,4.3517385
133,Peru,PER,3.6259067,3.5178707,3.49765,3.4864385,3.55,3.7036073
134,Philippines,PHL,3.7364528,3.798437,3.7838213,3.7900624,3.84,3.7869387
135,Poland,POL,3.261105,3.2696774,3.4446554,3.5387878,3.43,3.6202765
136,Portugal,PRT,2.918413,2.945947,3.0206976,3.0048285,2.99,3.2591746
137,Qatar,QAT,2.553611,2.5466793,2.5649433,2.6279163,2.64,2.6110432
138,Romania,ROU,3.0842316,3.064648,3.2114787,3.3189223,3.24,3.3888009
139,Russia,RUS,2.4872835,2.4603512,2.4695528,2.554628,2.63,2.6851156
140,Rwanda,RWA,3.4158692,3.1725583,3.1902807,3.3503315,3.22,3.527686
141,Saint Kitts and Nevis,KNA,3.7032888,3.83081,3.9216077,3.9785185,3.94,4.2406306
142,Saint Lucia,LCA,3.8027802,3.873974,3.9322066,3.9680488,3.88,3.8424928
143,Saint Vincent and the Grenadines,VCT,4.7976937,4.802001,4.780122,4.8998594,4.94,5.148014
144,Sao Tome and Principe,STP,2.5757203,2.5898435,2.628537,2.6907349,2.72,2.7777057
145,Saudi Arabia,SAU,2.7525938,2.859619,2.988901,3.1409357,3.22,3.2591746
146,Senegal,SEN,2.940522,2.945947,2.9359062,2.9629493,2.98,3.1295483
147,Serbia,SRB,3.9354353,3.9279294,4.0699925,4.0308676,3.99,4.2776666
148,Seychelles,SYC,3.8801622,3.744482,3.667233,3.4759688,3.62,3.5924993
149,Sierra Leone,SLE,2.9736857,3.021484,2.8617136,2.8687212,3.0,3.0739942
150,Singapore,SGP,3.12845,3.1509762,3.1690829,3.2665732,3.24,3.2221384
151,Sint Maarten (Dutch part),SXM,4.930349,5.1688957,5.0980897,5.130195,5.24,5.09246
152,Slovakia,SVK,2.71943,2.7301266,2.8511147,3.0257683,2.98,3.2776926
153,Slovenia,SVN,2.8741941,2.913574,3.0206976,3.1199963,3.02,3.1851025
154,Somalia,SOM,4.015880426384205,3.9767653550673585,4.0090801941101315,4.081267175900755,4.14,4.243743199640152
155,South Africa,ZAF,3.371651,3.3236322,3.306869,3.3398619,3.39,3.462873
156,South Asia (WB),,3.670125,3.6365716,3.6248374,3.7586532,3.79,3.8517516
157,South Korea,KOR,5.2288227,5.3091793,5.1934805,5.433819,5.57,5.6387424
158,South Sudan,SSD,3.850977123851521,3.8134682269607283,3.8444561281684115,3.9136789102236715,3.97,4.069483213181499
159,Spain,ESP,2.796812,2.7732906,2.8723125,2.8791912,2.91,3.101771
160,Sri Lanka,LKA,3.9575443,3.863183,3.7626235,3.9680488,4.13,4.416552
161,Sub-Saharan Africa (WB),,3.3605964,3.2912593,3.2538743,3.2979827,3.38,3.4165778
162,Sudan,SDN,2.796812,2.913574,3.1372862,2.9524796,2.12,1.7221775
163,Suriname,SUR,4.8861303,5.017822,5.0344963,5.350061,5.42,5.388749
164,Sweden,SWE,2.995795,2.989111,3.0842915,3.1409357,3.1,3.2962105
165,Switzerland,CHE,2.642048,2.6437986,2.7027295,2.7116745,2.65,2.6388202
166,Syria,SYR,4.9567992702471715,4.908519556616958,4.948405746836419,5.037506103587647,5.11,5.238050181198352
167,Taiwan,TWN,4.410783,4.570930553721685,4.608073525944321,4.691045904545252,4.97,4.877797335632651
168,Tajikistan,TJK,3.4379785,3.3667963,3.487051,3.7377136,3.71,3.6110172
169,Tanzania,TZA,2.4430652,2.4279783,2.4059591,2.4289904,2.43,2.4999352
170,Thailand,THA,4.4550014,4.424316,4.504549,4.5962358,4.53,4.564696
171,Togo,TGO,2.71943,2.6977537,2.6709328,2.7116745,2.86,2.944368
172,Trinidad and Tobago,TTO,4.322346,4.327197,4.3137684,4.4077797,4.51,4.7035813
173,Tunisia,TUN,4.0459814,4.0358396,4.0487947,4.0099277,4.03,4.1295223
174,Turkey,TUR,3.8027802,3.863183,4.1017895,3.8842907,3.82,4.1665583
175,Turks and Caicos Islands,TCA,3.1063406,3.1293943,3.147885,3.214224,3.23,3.2869515
176,Uganda,UGA,3.449033,3.3236322,3.2220776,3.1723452,3.15,3.3332467
177,United Arab Emirates,ARE,2.6752117,2.6977537,2.7027295,2.8687212,2.86,2.907332
178,United Kingdom,GBR,1.8792809,1.8884275,1.939606,1.9473802,1.93,1.9629118
179,United States,USA,2.3988469,2.3524413,2.3317666,2.3871112,2.36,2.435122
180,Upper-middle-income countries,,3.6480157,3.6257808,3.667233,3.706304,3.74,3.8887877
181,Uruguay,URY,3.1726682,3.1941402,3.2220776,3.3398619,3.31,3.370283
182,Uzbekistan,UZB,4.543438,4.6401362,4.748325,4.931269,5.09,5.2498636
183,Vietnam,VNM,3.4711425,3.4531248,3.49765,3.7272437,3.69,3.6665714
184,World,OWID_WRL,3.460088,3.4207516,3.4446554,3.507378,3.56,3.6665714
185,Zambia,ZMB,3.017904,3.010693,3.0524948,3.0571775,3.2,3.2684336
186,Zimbabwe,ZWE,3.8248894,3.7876346001117582,3.818412579581803,3.8871664248544193,3.9431059779480186,4.041915260719163
